nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.13940709951537258	0.008738751411437989	0.009104273319244384	0.007388062477111816	0.007057678699493408
3	0.19154633606148871	0.010278315544128417	0.010588152408599854	0.009532613754272461	0.008037881851196289
4	0.23310808565209903	0.011653032302856445	0.012042896747589111	0.011721932888031006	0.009317629337310791
5	0.2709723550835691	0.012902884483337403	0.013222858905792237	0.014614264965057373	0.011125955581665039
7	0.3235134101066237	0.015576324462890624	0.015919690132141114	0.01987199306488037	0.014256055355072022
8	0.34245754663047684	0.01711496353149414	0.01727931499481201	0.02315009355545044	0.016110758781433105
9	0.38136938629071815	0.018615398406982422	0.018389427661895753	0.02538559913635254	0.017909419536590577
10	0.3927485424330127	0.019518170356750488	0.01901066303253174	0.027584846019744872	0.019513792991638183
12	0.43131819383035	0.023279173374176024	0.02199079990386963	0.03276876211166382	0.022301251888275146
20	0.5148687239754617	0.043209376335144045	0.0363680100440979	0.061571214199066165	0.040941619873046876
25	0.5586703008906043	0.06549095869064331	0.05125786304473877	0.08648708581924439	0.05850056171417237
30	0.5873840663729929	0.08562151193618775	0.06529391050338745	0.11014236450195312	0.07488729000091553
35	0.6431224163851544	0.09950201272964478	0.07323066473007202	0.12362684726715088	0.08466602563858032
40	0.670474261900862	0.111358642578125	0.0819655966758728	0.13267666578292847	0.09064993381500244
45	0.7073586820205685	0.12965982913970947	0.09318157911300659	0.14674129247665404	0.09907324075698852
60	0.7323292365781245	0.2219460678100586	0.15561774730682373	0.23294100522994995	0.16169191360473634
75	0.785803441515999	0.2456500768661499	0.17071020126342773	0.256786208152771	0.17486790418624878
95	0.8378859590542508	0.3218387222290039	0.2217332911491394	0.3333906579017639	0.22779271364212036
