nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.13940709951537258	13.7	13.7	22.65	21.3
3	0.19154633606148871	22.35	22.35	35.35	28.3
4	0.23310808565209903	29.75	29.25	48.9	36.45
5	0.2709723550835691	36.9	36.05	63.8	46.8
7	0.3235134101066237	51.25	50.0	92.55	64.8
8	0.34245754663047684	57.9	55.35	110.9	74.4
9	0.38136938629071815	67.2	63.5	123.1	83.25
10	0.3927485424330127	74.1	69.15	136.55	92.8
12	0.43131819383035	93.05	83.2	161.45	109.1
20	0.5148687239754617	190.75	155.2	302.95	202.2
25	0.5586703008906043	274.25	210.55	394.6	269.7
30	0.5873840663729929	354.1	264.15	478.3	327.0
35	0.6431224163851544	441.4	318.8	569.85	390.2
40	0.670474261900862	525.5	378.55	653.7	450.9
45	0.7073586820205685	635.85	457.05	735.35	503.65
60	0.7323292365781245	915.35	648.75	980.3	685.55
75	0.785803441515999	1149.15	795.6	1232.1	843.7
95	0.8378859590542508	1498.9	1020.1	1574.25	1075.15
