nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.13940709951537258	0.009411482810974122	0.009570682048797607	0.007646946907043457	0.0073458456993103025
3	0.19154633606148871	0.010974850654602051	0.01121145486831665	0.009410150051116943	0.008499786853790284
4	0.23310808565209903	0.012400391101837159	0.012731533050537109	0.011873087882995605	0.010025842189788818
5	0.2709723550835691	0.014055078029632568	0.01412372589111328	0.015058679580688477	0.012076289653778076
7	0.3235134101066237	0.017294385433197022	0.01721363067626953	0.0207537841796875	0.01591280221939087
8	0.34245754663047684	0.018703985214233398	0.018625667095184328	0.02424325704574585	0.01766361713409424
9	0.38136938629071815	0.021008958816528322	0.02059669017791748	0.026657023429870606	0.019205701351165772
10	0.3927485424330127	0.022955851554870607	0.022505478858947756	0.029230124950408935	0.021166958808898927
12	0.43131819383035	0.02785202980041504	0.025675976276397706	0.035526654720306396	0.024688494205474854
20	0.5148687239754617	0.052699382305145266	0.0436855149269104	0.06437310934066773	0.04316397190093994
25	0.5586703008906043	0.07415669918060303	0.05805697202682495	0.08201419353485108	0.057028279304504395
30	0.5873840663729929	0.0966356325149536	0.07227417230606079	0.09966680288314819	0.06923251628875732
35	0.6431224163851544	0.12062613010406494	0.08881782054901123	0.11930049657821655	0.08152813673019409
40	0.670474261900862	0.14272313117980956	0.10515424489974975	0.14206944465637206	0.09741390466690064
45	0.7073586820205685	0.17118046283721924	0.12188339710235596	0.16210142850875855	0.11029612064361573
60	0.7323292365781245	0.24171841144561768	0.1777462339401245	0.2250203323364258	0.15604279041290284
75	0.785803441515999	0.31105908632278445	0.2239501166343689	0.28688634395599366	0.1943017077445984
95	0.8378859590542508	0.4139628767967224	0.2973314833641052	0.3745427083969116	0.2571980810165405
