nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.13940709951537258	0.008533296585083007	0.008819360733032227	0.007048916816711426	0.006697258949279785
3	0.19154633606148871	0.010288059711456299	0.010522556304931641	0.008874382972717285	0.007874274253845214
4	0.23310808565209903	0.011721596717834473	0.0118160080909729	0.0116090989112854	0.0097239351272583
5	0.2709723550835691	0.013332533836364745	0.013403458595275879	0.014190990924835205	0.011203572750091553
7	0.3235134101066237	0.015988061428070067	0.016029558181762694	0.019366269111633302	0.014580886363983154
8	0.34245754663047684	0.01755342721939087	0.01739588737487793	0.022367653846740724	0.016350231170654296
9	0.38136938629071815	0.019254002571105957	0.018764467239379884	0.025255768299102782	0.017735679149627686
10	0.3927485424330127	0.021327548027038574	0.02052083969116211	0.027531087398529053	0.0193397855758667
12	0.43131819383035	0.026043245792388914	0.02407763957977295	0.032635974884033206	0.022431800365447997
20	0.5148687239754617	0.04966102361679077	0.04091249465942383	0.060172879695892335	0.04037327289581299
25	0.5586703008906043	0.06869639873504639	0.05299118518829346	0.07644881010055542	0.05210636854171753
30	0.5873840663729929	0.09099433898925781	0.06665207386016846	0.09291048765182496	0.06423300266265869
35	0.6431224163851544	0.1124765658378601	0.08272969245910644	0.1114322829246521	0.07618903160095215
40	0.670474261900862	0.13024338006973266	0.0956320333480835	0.12851720094680785	0.08800275087356567
45	0.7073586820205685	0.15473654270172119	0.11043370723724365	0.14530745267868042	0.09900071382522584
60	0.7323292365781245	0.2176831316947937	0.15884991645812988	0.20337601900100707	0.1395028328895569
75	0.785803441515999	0.31104230165481567	0.22150216579437257	0.2824665880203247	0.19293025016784668
95	0.8378859590542508	0.4908131456375122	0.34524347066879274	0.43034478425979616	0.294816210269928
