nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.13940709951537258	6.30262140102431	6.30262140102431	9.391131170963952	9.54394728124769
3	0.19154633606148871	11.29347509588161	11.29347509588161	15.137172020796129	13.243886981608956
4	0.23310808565209903	16.147059605664356	15.81712034455147	23.776275086672957	19.211779917159518
5	0.2709723550835691	20.068277674056525	19.400223011246783	30.733959087695936	24.339496893343206
7	0.3235134101066237	26.53122606090635	26.154604257929734	45.92012936624789	34.04842684145458
8	0.34245754663047684	29.253740628739095	28.291666980677427	51.92771477588099	37.107903136782205
9	0.38136938629071815	33.97199748684994	32.13342337620938	60.58968987347608	42.529067007842976
10	0.3927485424330127	36.584740689121965	33.480882512326154	63.57120927233697	44.280309275231346
12	0.43131819383035	51.776456556982765	45.837824997750005	80.1381016874829	55.99748281990872
20	0.5148687239754617	103.9157601237736	84.85905144679228	152.19451662018628	102.3067942748979
25	0.5586703008906043	141.34946120924172	104.46280634308538	189.6168808445057	127.28450604244617
30	0.5873840663729929	193.55650697580057	137.6198769250528	232.7992673000847	160.80437451163863
35	0.6431224163851544	236.64369423976194	166.3851986491901	271.1869962914341	182.8108457262393
40	0.670474261900862	276.7986888119414	195.94351415292252	315.09721083313724	214.2907030023082
45	0.7073586820205685	339.557785763547	236.75723402468608	361.86222013668237	249.57584365007003
60	0.7323292365781245	464.3454739736751	324.6722172154693	488.61047326652465	336.63166029683356
75	0.785803441515999	591.6527529392014	407.0374054379495	609.4389830139003	418.6693744947369
95	0.8378859590542508	770.0189275225646	525.4081464394468	786.7842409710807	537.9940324596245
