nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.2028547409254521	0.02450275659561157	0.024959454536437987	0.01760796070098877	0.017275166511535645
3	0.2913706876959281	0.02807009220123291	0.03281575202941894	0.02429893732070923	0.02219062566757202
4	0.31644048592722746	0.03836096286773682	0.03502575397491455	0.033128745555877685	0.029055938720703126
5	0.3452207870418323	0.04285443782806397	0.04155954599380493	0.04342164278030396	0.03609104633331299
7	0.37308317569693755	0.06811589479446412	0.07021745443344116	0.06998642683029174	0.06180781602859497
8	0.39318062422342925	0.07888657569885255	0.0774392056465149	0.07841057777404785	0.07934284687042237
10	0.45405822501654053	0.10518092632293702	0.10967557907104492	0.12045930862426758	0.09438837051391602
12	0.480990340464951	0.11948090553283691	0.10740882635116578	0.14955702066421508	0.11006869792938233
16	0.49420174904042974	0.1682646656036377	0.14901750802993774	0.1806926655769348	0.1383112382888794
20	0.5536079650004001	0.19375529050827026	0.18082927942276	0.20479711055755614	0.19795696258544923
30	0.632617966986272	0.2908507442474365	0.3002484345436096	0.30761746644973753	0.2788602876663208
40	0.7333426657925299	0.4036431384086609	0.3804633355140686	0.36919819593429565	0.3519847869873047
50	0.7411010069000254	0.42915777683258055	0.409647011756897	0.3757027673721314	0.3558222389221191
60	0.7663955499424024	0.5223201179504394	0.4660698080062866	0.4708267307281494	0.3940591931343079
65	0.7601771444150782	0.4936935329437256	0.4531795787811279	0.4020449948310852	0.35740688562393186
