nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.2028547409254521	30.65	29.1	38.2	38.15
3	0.2913706876959281	39.0	46.75	62.5	54.9
4	0.31644048592722746	61.2	58.15	90.0	70.6
5	0.3452207870418323	74.25	73.65	115.3	98.2
7	0.37308317569693755	105.45	105.2	161.7	137.4
8	0.39318062422342925	120.95	125.5	179.85	161.6
10	0.45405822501654053	158.1	162.65	229.2	200.5
12	0.480990340464951	189.1	196.45	282.05	244.6
16	0.49420174904042974	271.2	261.4	370.55	333.75
20	0.5536079650004001	373.8	349.55	480.4	432.3
30	0.632617966986272	615.95	577.95	727.85	652.7
40	0.7333426657925299	870.3	810.8	972.3	896.95
50	0.7411010069000254	1151.85	1008.8	1218.1	1109.95
60	0.7663955499424024	1392.0	1249.0	1463.55	1334.35
65	0.7601771444150782	1515.9	1386.65	1587.35	1459.4
