nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.22237140698682845	0.013831145763397217	0.014452908039093017	0.010135400295257568	0.009622776508331298
3	0.23769053357911457	0.020003659725189207	0.020604825019836424	0.01478130578994751	0.014459028244018554
4	0.30143223768131	0.037218174934387206	0.03801245450973511	0.03214203834533692	0.02786386489868164
5	0.34491173301807243	0.039277591705322266	0.04317161560058594	0.038421425819396976	0.03192609786987305
7	0.3894110573718318	0.0704168438911438	0.06401927709579468	0.06570942878723145	0.05956184148788452
8	0.3895010566699322	0.08090131282806397	0.08548826694488526	0.08243390083312989	0.06447514772415161
10	0.45230932332867896	0.09721545696258545	0.09868590354919433	0.09277459621429443	0.08727005481719971
12	0.5017604941150482	0.10747381687164306	0.1286805534362793	0.11675126552581787	0.10596995830535888
16	0.532222590533096	0.19332529306411744	0.18387311935424805	0.15759655714035034	0.13624016523361207
20	0.6038487691459086	0.2427963447570801	0.22579677343368532	0.19669791221618652	0.18127708196640013
30	0.6397455071177791	0.3473337435722351	0.34531134605407715	0.27068265914916995	0.25426860094070436
40	0.6804568364934975	0.4314122295379639	0.43339340925216674	0.36877864837646485	0.30705589532852173
50	0.7077692499777419	0.5268204474449157	0.4558801054954529	0.34640453100204466	0.3362481737136841
60	0.7565988563224968	0.5974093580245972	0.5630788874626159	0.4420483994483948	0.39899630069732667
65	0.7834791286656865	0.5811926102638245	0.5383038139343261	0.39547025203704833	0.34823945760726926
