nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.17881978141627264	0.00990623950958252	0.010350751876831054	0.008176591396331787	0.007887837886810302
3	0.19413751491022985	0.013903291225433349	0.014469881057739258	0.012202403545379638	0.01073631525039673
4	0.25227978090416747	0.018257288932800292	0.019051623344421387	0.017754437923431395	0.015079517364501954
5	0.2916945489550318	0.02236849069595337	0.024794487953186034	0.023123042583465578	0.019668548107147216
7	0.3525747144639221	0.027286159992218017	0.027828679084777833	0.030391600131988526	0.02532564640045166
8	0.36720779324853126	0.026698188781738283	0.027802815437316896	0.031325945854187014	0.025482847690582275
10	0.3855205638645866	0.0396101713180542	0.04210437297821045	0.04648972988128662	0.03503657817840576
12	0.4830260817367104	0.04381378650665283	0.044029724597930905	0.05339225053787231	0.04372903108596802
16	0.48008008247870343	0.05455432891845703	0.05213586568832398	0.06316016912460327	0.04817286491394043
20	0.5462308695072695	0.07320002794265747	0.06216248035430908	0.08098749160766601	0.06793044328689575
30	0.58907860774138	0.12229606866836548	0.10306277751922607	0.12168100118637085	0.09747567653656006
40	0.6653167484723242	0.18109254360198976	0.14276069164276123	0.17109205722808837	0.13604098558425903
50	0.6619426948381847	0.23662387371063232	0.19189975023269654	0.2221945858001709	0.17606956958770753
60	0.7220242809087081	0.3075537657737732	0.24425361871719362	0.28613999366760257	0.22678885698318482
65	0.7068052547531991	0.31614735841751096	0.26663622617721555	0.29133164405822753	0.23849354267120362
