nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.17881978141627264	16.25	19.9	31.45	30.45
3	0.19413751491022985	32.35	34.15	45.75	39.7
4	0.25227978090416747	43.4	42.0	67.5	54.4
5	0.2916945489550318	53.65	55.95	78.45	68.05
7	0.3525747144639221	77.4	77.25	119.85	103.85
8	0.36720779324853126	85.4	89.5	143.0	116.25
10	0.3855205638645866	114.45	125.9	181.1	136.7
12	0.4830260817367104	147.65	139.65	225.7	185.9
16	0.48008008247870343	211.05	199.45	294.45	233.5
20	0.5462308695072695	295.15	243.45	374.8	325.25
30	0.58907860774138	501.15	415.75	575.85	478.55
40	0.6653167484723242	701.45	566.3	777.55	622.9
50	0.6619426948381847	931.8	738.05	977.2	804.65
60	0.7220242809087081	1091.5	889.1	1170.7	951.85
65	0.7068052547531991	1209.15	1006.75	1258.55	1043.65
