nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.19066780123401025	0.009685823917388916	0.010385210514068604	0.0076008963584899905	0.007307233810424804
3	0.23262031675769076	0.011839327812194824	0.011619131565093994	0.009599378108978271	0.009685378074645996
4	0.22271585051096968	0.014882779121398926	0.0148056697845459	0.012509849071502686	0.01146465539932251
5	0.2845916740989136	0.014858455657958984	0.016457436084747316	0.015461328029632569	0.012547383308410645
7	0.33587426707739637	0.020609843730926513	0.02104898452758789	0.021735572814941408	0.01728172779083252
8	0.33744621689498183	0.02272789239883423	0.02241055965423584	0.02361788272857666	0.01974217414855957
10	0.39353586500438875	0.027999699115753174	0.026652746200561524	0.03016457796096802	0.024390451908111573
12	0.4422255774904884	0.03555886030197144	0.03184797048568726	0.03632230997085571	0.029395174980163575
16	0.4977599303656789	0.0490729284286499	0.04547686815261841	0.050734984874725345	0.04030997037887573
20	0.53297747660936	0.0657186245918274	0.05667482614517212	0.06232574462890625	0.05051413536071778
30	0.5746313696347144	0.10650049686431885	0.09124352216720581	0.09675482749938964	0.07585400819778443
40	0.6250565994900944	0.15296270608901977	0.12475918292999268	0.12964210033416748	0.10394976615905761
50	0.7089715735038083	0.19731821060180665	0.1683198928833008	0.16358585119247437	0.13327011585235596
60	0.7157014414505234	0.24586064100265503	0.20716323375701903	0.20215476036071778	0.1676928234100342
65	0.7286324038507531	0.26789016485214234	0.2282994246482849	0.22032305002212524	0.1827378249168396
