nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.17536540441368845	9.189419599178756	9.69244070112696	12.863216051762981	14.169085619084424
3	0.21965236003609415	16.607058009413674	16.177572092857062	21.49504076171346	21.553842093204622
4	0.28608888745600747	20.818506347696385	21.21758714705343	28.431235563151972	25.853921774655127
5	0.2945779172663989	25.91913932576908	26.99547717370064	43.68809692023404	36.887764048925085
7	0.34294172651852534	39.344723828211414	36.5042390090245	54.64292404241999	47.659067922349266
8	0.31701228177001356	45.10546384508441	42.88976906386941	67.3810791803424	59.10380307332223
10	0.39770991751797746	57.401119407018335	56.74923853483386	89.50417999015221	77.91214903719559
12	0.44672316712025534	74.18329846187862	68.08493295335809	106.82741387070111	87.51058650494973
16	0.5035174994976569	104.25704132194959	96.68278417043477	145.95696771921547	118.98536257123227
20	0.540733277578477	157.0008341011661	125.97161486440581	188.21478143204055	152.9933682504303
30	0.611793006423122	262.62103193171095	210.72984913008418	281.97383651808434	232.97004147182673
40	0.6809782386083989	368.6158848493492	307.2065826703423	378.5003734870947	324.06586522353774
50	0.6837913810991729	461.8674494483971	375.6775105165576	483.63935596305737	407.17260444670103
60	0.7063130641606264	571.4766932497276	438.7584523077208	584.7363983132692	471.78793627322653
65	0.7170968682944678	609.3415266960454	504.0901593443121	632.0030111144638	500.96587303861355
